2026-05-20 16:38:19 | DEBUG    | app.main | Registering tenants router
2026-05-20 16:38:19 | INFO     | app.main | Tenants router registered successfully
2026-05-20 16:38:19 | INFO     | app.main | Admin UI FastAPI application initialized successfully
2026-05-20 16:38:20 | INFO     | app.core.config | Logger initialized successfully for module: app.core.config
2026-05-20 16:38:20 | INFO     | app.core.config | Initializing application settings
2026-05-20 16:38:20 | INFO     | app.core.config | Application settings loaded successfully
2026-05-20 16:38:20 | INFO     | app.core.config | Global settings object initialized
2026-05-20 16:38:20 | INFO     | app.db.base | Logger initialized successfully for module: app.db.base
2026-05-20 16:38:20 | INFO     | app.db.base | Database engine initialization started
2026-05-20 16:38:20 | DEBUG    | app.db.base | Creating SQLAlchemy engine for database URL: sqlite:///D:/OneDrive - REDINGTON/Work/Code/RAG/s1_rag_engine/sql_lite_db/rag_admin.sqlite3
2026-05-20 16:38:20 | INFO     | app.db.base | Database engine created successfully
2026-05-20 16:38:20 | DEBUG    | app.db.base | Initializing SQLAlchemy declarative base
2026-05-20 16:38:20 | INFO     | app.db.base | SQLAlchemy declarative base initialized successfully
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | Logger initialized successfully for module: app.schemas.schemas
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | Initializing Pydantic schema models
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining LoginRequest schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | LoginRequest schema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining UserSchema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | UserSchema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining TokenResponse schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | TokenResponse schema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining MessageResponse schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | MessageResponse schema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining TenantSchema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | TenantSchema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining ConfigSection schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | ConfigSection schema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining TenantConfigResponse schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | TenantConfigResponse schema defined successfully
2026-05-20 16:38:20 | DEBUG    | app.schemas.schemas | Defining PlaceholderResponse schema
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | PlaceholderResponse schema defined successfully
2026-05-20 16:38:20 | INFO     | app.schemas.schemas | All schema models initialized successfully
2026-05-20 16:38:20 | INFO     | app.db.session | Logger initialized successfully for module: app.db.session
2026-05-20 16:38:20 | INFO     | app.db.session | Database session module initialization started
2026-05-20 16:38:20 | DEBUG    | app.db.session | Creating SQLAlchemy session factory
2026-05-20 16:38:20 | INFO     | app.db.session | SQLAlchemy session factory created successfully
2026-05-20 16:38:20 | INFO     | app.models.tables | Logger initialized successfully for module: app.models.tables
2026-05-20 16:38:20 | INFO     | app.models.tables | Initializing database table models
2026-05-20 16:38:20 | DEBUG    | app.models.tables | Defining Role model
2026-05-20 16:38:20 | INFO     | app.models.tables | Role model defined successfully
2026-05-20 16:38:20 | DEBUG    | app.models.tables | Defining Tenant model
2026-05-20 16:38:20 | INFO     | app.models.tables | Tenant model defined successfully
2026-05-20 16:38:20 | DEBUG    | app.models.tables | Defining User model
2026-05-20 16:38:20 | INFO     | app.models.tables | User model defined successfully
2026-05-20 16:38:20 | DEBUG    | app.models.tables | Defining Config model
2026-05-20 16:38:20 | INFO     | app.models.tables | Config model defined successfully
2026-05-20 16:38:20 | INFO     | app.models.tables | All database table models initialized successfully
2026-05-20 16:38:20 | INFO     | app.core.security | Logger initialized successfully for module: app.core.security
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Logger initialized successfully for module: app.services.auth_service
2026-05-20 16:38:20 | INFO     | app.routers.auth | Logger initialized successfully for module: app.routers.auth
2026-05-20 16:38:20 | INFO     | app.services.tenant_service | Logger initialized successfully for module: app.services.tenant_service
